Ticker_id,Date,Open,High,Low,Close,Volume
INDEXNASDAQ:OMXSPI,2019-08-15 16.00.00,"580,58","582,69","570,77","578,52",0
INDEXNASDAQ:OMXSPI,2019-08-16 16.00.00,"580,35","585,76","580,35","585,76",0
INDEXNASDAQ:OMXSPI,2019-08-19 16.00.00,"586,73","593,54","586,73","593,54",0
INDEXNASDAQ:OMXSPI,2019-08-20 16.00.00,"593,67","596,65","592,51","593,03",0
INDEXNASDAQ:OMXSPI,2019-08-21 16.00.00,"593,71","598,97","593,71","597,35",0
INDEXNASDAQ:OMXSPI,2019-08-22 16.00.00,"596,66","597,22","592,86","593,79",0
INDEXNASDAQ:OMXSPI,2019-08-23 16.00.00,"595,91","597,88","589,01","589,01",0
INDEXNASDAQ:OMXSPI,2019-08-26 16.00.00,"584,86","588,7","581,07","587,37",0
INDEXNASDAQ:OMXSPI,2019-08-27 16.00.00,"587,49","591,21","586,39","590,84",0
INDEXNASDAQ:OMXSPI,2019-08-28 16.00.00,"591,64","591,87","585,84","590,02",0
INDEXNASDAQ:OMXSPI,2019-08-29 16.00.00,"590,95","599,33","590,8","599,33",0
INDEXNASDAQ:OMXSPI,2019-08-30 16.00.00,"600,9","608,4","600,61","606,59",0
INDEXNASDAQ:OMXSPI,2019-09-03 16.00.00,"604,85","606,97","602,88","604,2",0
INDEXNASDAQ:OMXSPI,2019-09-04 16.00.00,"608,23","610,56","607,06","608,89",0
INDEXNASDAQ:OMXSPI,2019-09-05 16.00.00,"609,61","613,39","608,33","610,41",0
INDEXNASDAQ:OMXSPI,2019-09-06 16.00.00,"611,17","612,51","610,14","612,51",0
INDEXNASDAQ:OMXSPI,2019-09-09 16.00.00,"613,48","614,37","611,76","612,83",0
INDEXNASDAQ:OMXSPI,2019-09-10 16.00.00,"613,06","615,3","611,25","614,95",0
INDEXNASDAQ:OMXSPI,2019-09-11 16.00.00,"616,92","619,96","616,38","619,96",0
INDEXNASDAQ:OMXSPI,2019-09-12 16.00.00,"622,39","625,42","621,73","624,23",0
INDEXNASDAQ:OMXSPI,2019-09-13 16.00.00,"624,84","628,57","624,84","628,57",0
INDEXNASDAQ:OMXSPI,2019-09-16 16.00.00,"625,5","626,69","624,06","625,13",0
INDEXNASDAQ:OMXSPI,2019-09-17 16.00.00,"624,22","625,04","620,38","623,96",0
INDEXNASDAQ:OMXSPI,2019-09-18 16.00.00,"623,97","629,42","623,51","627,73",0
INDEXNASDAQ:OMXSPI,2019-09-19 16.00.00,"628,23","630,92","626,96","630,41",0
INDEXNASDAQ:OMXSPI,2019-09-20 16.00.00,"630,52","632,16","628,5","629,9",0
INDEXNASDAQ:OMXSPI,2019-09-23 16.00.00,"629,26","629,26","617,18","619,99",0
INDEXNASDAQ:OMXSPI,2019-09-24 16.00.00,"620,83","622,37","619,31","619,31",0
INDEXNASDAQ:OMXSPI,2019-09-25 16.00.00,"616,55","616,55","608,35","613,69",0
INDEXNASDAQ:OMXSPI,2019-09-26 16.00.00,"612,68","619,31","612,68","618,03",0
INDEXNASDAQ:OMXSPI,2019-09-27 16.00.00,"619,28","622,69","618,83","622,69",0
INDEXNASDAQ:OMXSPI,2019-09-30 16.00.00,"622,52","624,62","621,94","624,14",0
INDEXNASDAQ:OMXSPI,2019-10-01 16.00.00,"624,52","627,19","618,97","620,25",0
INDEXNASDAQ:OMXSPI,2019-10-02 16.00.00,"618,37","618,37","604,17","604,77",0
INDEXNASDAQ:OMXSPI,2019-10-03 16.00.00,"603,44","607,6","597,46","602,23",0
INDEXNASDAQ:OMXSPI,2019-10-04 16.00.00,"603,68","605,3","601,21","605,12",0
INDEXNASDAQ:OMXSPI,2019-10-07 16.00.00,"606,57","612,83","605,47","612,5",0
INDEXNASDAQ:OMXSPI,2019-10-08 16.00.00,"613,27","614,45","606,07","608,83",0
INDEXNASDAQ:OMXSPI,2019-10-09 16.00.00,"607,71","615,09","607,12","613,95",0
INDEXNASDAQ:OMXSPI,2019-10-10 16.00.00,"613,95","616,54","609,02","616,3",0
INDEXNASDAQ:OMXSPI,2019-10-11 16.00.00,"617,78","623,96","616,34","623,83",0
INDEXNASDAQ:OMXSPI,2019-10-14 16.00.00,"623,15","624,26","619,57","624,26",0
INDEXNASDAQ:OMXSPI,2019-10-15 16.00.00,"626,05","631,91","626,05","630,34",0
INDEXNASDAQ:OMXSPI,2019-10-16 16.00.00,"630,56","631,8","629,04","630,83",0
INDEXNASDAQ:OMXSPI,2019-10-17 16.00.00,"631,89","636,28","630,89","633,43",0
INDEXNASDAQ:OMXSPI,2019-10-18 16.00.00,"630,86","636,79","630,86","636,57",0
INDEXNASDAQ:OMXSPI,2019-10-21 16.00.00,"636,3","642,3","635,79","642,16",0
INDEXNASDAQ:OMXSPI,2019-10-22 16.00.00,"643,17","645,51","642,25","642,92",0
INDEXNASDAQ:OMXSPI,2019-10-23 16.00.00,"640,68","643,32","638,98","643,32",0
